Robot	year	DOF	note				Brands
AISoy1	2010	5					
Neato XV	2010	3	vaccume cleaner				
Geoff Peterson	2010	20	estimated				
PR2 (Willow Garage)	2010	18					
Great Moments with Mr. Lincoln (Disney)	1965	26	estimate 				
Robonaut (NASA)	2009	40	(setup dependent)				
Robonaut 2 (NASA)	2010	40					
TOPIO Dio	2010	28					
VSR-2: Talos FG	2010	26	estimate 				
Arachno-Bot	2011	40	Spyder robot				
RoboBee	2013	2	estimate 				
KHR-0 	2001	12					
KHR-1 (KAIST)	2002	21					
KHR-2	2004	41					
KHR-3 (HUBO)	2005	41					
Albert HUBO (KHR-3)	2005	66					
Hubo 2 (KHR-4)	2008	40					
HUBO 2 Plus (KHR-4 Plus)	2011	38					
KR AGILUS (KUKA)	2012	6					
KR QUANTEC (KUKA)	2010	6					
KUKA titan (KUKA)	2007	6					
IR 6/60  (KUKA)	1979	6					
FAMULUS (KUKA)	1973	7					
youBot (KUKA)	2010	10					
